text,intent
show me cancel appointment?,APPT_CANCEL
show me cancel booking,APPT_CANCEL
show me cancel booking!,APPT_CANCEL
show me cancel booking?,APPT_CANCEL
show me delete appointment,APPT_CANCEL
show me delete appointment!,APPT_CANCEL
show me delete appointment?,APPT_CANCEL
show me remove appointment,APPT_CANCEL
show me remove appointment!,APPT_CANCEL
show me remove appointment?,APPT_CANCEL
can you change appointment date,APPT_RESCHEDULE
can you change appointment date!,APPT_RESCHEDULE
can you change appointment date?,APPT_RESCHEDULE
can you change appointment time,APPT_RESCHEDULE
can you change appointment time!,APPT_RESCHEDULE
can you change appointment time?,APPT_RESCHEDULE
can you move appointment,APPT_RESCHEDULE
can you move appointment!,APPT_RESCHEDULE
can you move appointment?,APPT_RESCHEDULE
can you rebook appointment,APPT_RESCHEDULE
can you rebook appointment!,APPT_RESCHEDULE
can you rebook appointment?,APPT_RESCHEDULE
can you reschedule appointment,APPT_RESCHEDULE
can you reschedule appointment!,APPT_RESCHEDULE
can you reschedule appointment?,APPT_RESCHEDULE
change appointment date,APPT_RESCHEDULE
change appointment date please,APPT_RESCHEDULE
change appointment date please!,APPT_RESCHEDULE
change appointment date please?,APPT_RESCHEDULE
change appointment date!,APPT_RESCHEDULE
change appointment date?,APPT_RESCHEDULE
change appointment time,APPT_RESCHEDULE
change appointment time please,APPT_RESCHEDULE
change appointment time please!,APPT_RESCHEDULE
change appointment time please?,APPT_RESCHEDULE
change appointment time!,APPT_RESCHEDULE
change appointment time?,APPT_RESCHEDULE
could you change appointment date,APPT_RESCHEDULE
could you change appointment date!,APPT_RESCHEDULE
could you change appointment date?,APPT_RESCHEDULE
could you change appointment time,APPT_RESCHEDULE
could you change appointment time!,APPT_RESCHEDULE
could you change appointment time?,APPT_RESCHEDULE
could you move appointment,APPT_RESCHEDULE
could you move appointment!,APPT_RESCHEDULE
could you move appointment?,APPT_RESCHEDULE
could you rebook appointment,APPT_RESCHEDULE
could you rebook appointment!,APPT_RESCHEDULE
could you rebook appointment?,APPT_RESCHEDULE
could you reschedule appointment,APPT_RESCHEDULE
could you reschedule appointment!,APPT_RESCHEDULE
could you reschedule appointment?,APPT_RESCHEDULE
i want to change appointment date,APPT_RESCHEDULE
i want to change appointment date!,APPT_RESCHEDULE
i want to change appointment date?,APPT_RESCHEDULE
i want to change appointment time,APPT_RESCHEDULE
i want to change appointment time!,APPT_RESCHEDULE
i want to change appointment time?,APPT_RESCHEDULE
i want to move appointment,APPT_RESCHEDULE
i want to move appointment!,APPT_RESCHEDULE
i want to move appointment?,APPT_RESCHEDULE
i want to rebook appointment,APPT_RESCHEDULE
i want to rebook appointment!,APPT_RESCHEDULE
i want to rebook appointment?,APPT_RESCHEDULE
i want to reschedule appointment,APPT_RESCHEDULE
i want to reschedule appointment!,APPT_RESCHEDULE
i want to reschedule appointment?,APPT_RESCHEDULE
move appointment,APPT_RESCHEDULE
move appointment please,APPT_RESCHEDULE
move appointment please!,APPT_RESCHEDULE
move appointment please?,APPT_RESCHEDULE
move appointment!,APPT_RESCHEDULE
move appointment?,APPT_RESCHEDULE
please change appointment date,APPT_RESCHEDULE
please change appointment date!,APPT_RESCHEDULE
please change appointment date?,APPT_RESCHEDULE
please change appointment time,APPT_RESCHEDULE
please change appointment time!,APPT_RESCHEDULE
please change appointment time?,APPT_RESCHEDULE
please move appointment,APPT_RESCHEDULE
please move appointment!,APPT_RESCHEDULE
please move appointment?,APPT_RESCHEDULE
please rebook appointment,APPT_RESCHEDULE
please rebook appointment!,APPT_RESCHEDULE
please rebook appointment?,APPT_RESCHEDULE
please reschedule appointment,APPT_RESCHEDULE
please reschedule appointment!,APPT_RESCHEDULE
please reschedule appointment?,APPT_RESCHEDULE
rebook appointment,APPT_RESCHEDULE
rebook appointment please,APPT_RESCHEDULE
rebook appointment please!,APPT_RESCHEDULE
rebook appointment please?,APPT_RESCHEDULE
rebook appointment!,APPT_RESCHEDULE
rebook appointment?,APPT_RESCHEDULE
reschedule appointment,APPT_RESCHEDULE
reschedule appointment please,APPT_RESCHEDULE
reschedule appointment please!,APPT_RESCHEDULE
reschedule appointment please?,APPT_RESCHEDULE
reschedule appointment!,APPT_RESCHEDULE
reschedule appointment?,APPT_RESCHEDULE
show me change appointment date,APPT_RESCHEDULE
show me change appointment date!,APPT_RESCHEDULE
show me change appointment date?,APPT_RESCHEDULE
show me change appointment time,APPT_RESCHEDULE
show me change appointment time!,APPT_RESCHEDULE
show me change appointment time?,APPT_RESCHEDULE
show me move appointment,APPT_RESCHEDULE
show me move appointment!,APPT_RESCHEDULE
show me move appointment?,APPT_RESCHEDULE
show me rebook appointment,APPT_RESCHEDULE
show me rebook appointment!,APPT_RESCHEDULE
show me rebook appointment?,APPT_RESCHEDULE
show me reschedule appointment,APPT_RESCHEDULE
show me reschedule appointment!,APPT_RESCHEDULE
show me reschedule appointment?,APPT_RESCHEDULE
appointments for today,APPT_TODAY
appointments for today please,APPT_TODAY
appointments for today please!,APPT_TODAY
appointments for today please?,APPT_TODAY
appointments for today!,APPT_TODAY
appointments for today?,APPT_TODAY
can you appointments for today,APPT_TODAY
can you appointments for today!,APPT_TODAY
can you appointments for today?,APPT_TODAY
can you show today's appointments,APPT_TODAY
can you show today's appointments!,APPT_TODAY
can you show today's appointments?,APPT_TODAY
can you today appointments,APPT_TODAY
can you today appointments!,APPT_TODAY
can you today appointments?,APPT_TODAY
can you today schedule,APPT_TODAY
can you today schedule!,APPT_TODAY
can you today schedule?,APPT_TODAY
can you who is coming today,APPT_TODAY
can you who is coming today!,APPT_TODAY
can you who is coming today?,APPT_TODAY
could you appointments for today,APPT_TODAY
could you appointments for today!,APPT_TODAY
could you appointments for today?,APPT_TODAY
could you show today's appointments,APPT_TODAY
could you show today's appointments!,APPT_TODAY
could you show today's appointments?,APPT_TODAY
could you today appointments,APPT_TODAY
could you today appointments!,APPT_TODAY
could you today appointments?,APPT_TODAY
could you today schedule,APPT_TODAY
could you today schedule!,APPT_TODAY
could you today schedule?,APPT_TODAY
could you who is coming today,APPT_TODAY
could you who is coming today!,APPT_TODAY
could you who is coming today?,APPT_TODAY
i want to appointments for today,APPT_TODAY
i want to appointments for today!,APPT_TODAY
i want to appointments for today?,APPT_TODAY
i want to show today's appointments,APPT_TODAY
i want to show today's appointments!,APPT_TODAY
i want to show today's appointments?,APPT_TODAY
i want to today appointments,APPT_TODAY
i want to today appointments!,APPT_TODAY
i want to today appointments?,APPT_TODAY
i want to today schedule,APPT_TODAY
i want to today schedule!,APPT_TODAY
i want to today schedule?,APPT_TODAY
i want to who is coming today,APPT_TODAY
i want to who is coming today!,APPT_TODAY
i want to who is coming today?,APPT_TODAY
please appointments for today,APPT_TODAY
please appointments for today!,APPT_TODAY
please appointments for today?,APPT_TODAY
please show today's appointments,APPT_TODAY
please show today's appointments!,APPT_TODAY
please show today's appointments?,APPT_TODAY
please today appointments,APPT_TODAY
please today appointments!,APPT_TODAY
please today appointments?,APPT_TODAY
please today schedule,APPT_TODAY
please today schedule!,APPT_TODAY
please today schedule?,APPT_TODAY
please who is coming today,APPT_TODAY
please who is coming today!,APPT_TODAY
please who is coming today?,APPT_TODAY
show me appointments for today,APPT_TODAY
show me appointments for today!,APPT_TODAY
show me appointments for today?,APPT_TODAY
show me show today's appointments,APPT_TODAY
show me show today's appointments!,APPT_TODAY
show me show today's appointments?,APPT_TODAY
show me today appointments,APPT_TODAY
show me today appointments!,APPT_TODAY
show me today appointments?,APPT_TODAY
show me today schedule,APPT_TODAY
show me today schedule!,APPT_TODAY
show me today schedule?,APPT_TODAY
show me who is coming today,APPT_TODAY
show me who is coming today!,APPT_TODAY
show me who is coming today?,APPT_TODAY
show today's appointments,APPT_TODAY
show today's appointments please,APPT_TODAY
show today's appointments please!,APPT_TODAY
show today's appointments please?,APPT_TODAY
show today's appointments!,APPT_TODAY
show today's appointments?,APPT_TODAY
today appointments,APPT_TODAY
today appointments please,APPT_TODAY
today appointments please!,APPT_TODAY
today appointments please?,APPT_TODAY
today appointments!,APPT_TODAY
today appointments?,APPT_TODAY
today schedule,APPT_TODAY
today schedule please,APPT_TODAY
today schedule please!,APPT_TODAY
today schedule please?,APPT_TODAY
today schedule!,APPT_TODAY
today schedule?,APPT_TODAY
who is coming today,APPT_TODAY
who is coming today please,APPT_TODAY
who is coming today please!,APPT_TODAY
who is coming today please?,APPT_TODAY
who is coming today!,APPT_TODAY
who is coming today?,APPT_TODAY
appointments next week,APPT_UPCOMING
appointments next week please,APPT_UPCOMING
appointments next week please!,APPT_UPCOMING
appointments next week please?,APPT_UPCOMING
appointments next week!,APPT_UPCOMING
appointments next week?,APPT_UPCOMING
appointments this week,APPT_UPCOMING
appointments this week please,APPT_UPCOMING
appointments this week please!,APPT_UPCOMING
appointments this week please?,APPT_UPCOMING
appointments this week!,APPT_UPCOMING
appointments this week?,APPT_UPCOMING
can you appointments next week,APPT_UPCOMING
can you appointments next week!,APPT_UPCOMING
can you appointments next week?,APPT_UPCOMING
can you appointments this week,APPT_UPCOMING
can you appointments this week!,APPT_UPCOMING
can you appointments this week?,APPT_UPCOMING
can you next appointments,APPT_UPCOMING
can you next appointments!,APPT_UPCOMING
can you next appointments?,APPT_UPCOMING
can you tomorrow appointments,APPT_UPCOMING
can you tomorrow appointments!,APPT_UPCOMING
can you tomorrow appointments?,APPT_UPCOMING
can you upcoming appointments,APPT_UPCOMING
can you upcoming appointments!,APPT_UPCOMING
can you upcoming appointments?,APPT_UPCOMING
could you appointments next week,APPT_UPCOMING
could you appointments next week!,APPT_UPCOMING
could you appointments next week?,APPT_UPCOMING
could you appointments this week,APPT_UPCOMING
could you appointments this week!,APPT_UPCOMING
could you appointments this week?,APPT_UPCOMING
could you next appointments,APPT_UPCOMING
could you next appointments!,APPT_UPCOMING
could you next appointments?,APPT_UPCOMING
could you tomorrow appointments,APPT_UPCOMING
could you tomorrow appointments!,APPT_UPCOMING
could you tomorrow appointments?,APPT_UPCOMING
could you upcoming appointments,APPT_UPCOMING
could you upcoming appointments!,APPT_UPCOMING
could you upcoming appointments?,APPT_UPCOMING
i want to appointments next week,APPT_UPCOMING
i want to appointments next week!,APPT_UPCOMING
i want to appointments next week?,APPT_UPCOMING
i want to appointments this week,APPT_UPCOMING
i want to appointments this week!,APPT_UPCOMING
i want to appointments this week?,APPT_UPCOMING
i want to next appointments,APPT_UPCOMING
i want to next appointments!,APPT_UPCOMING
i want to next appointments?,APPT_UPCOMING
i want to tomorrow appointments,APPT_UPCOMING
i want to tomorrow appointments!,APPT_UPCOMING
i want to tomorrow appointments?,APPT_UPCOMING
i want to upcoming appointments,APPT_UPCOMING
i want to upcoming appointments!,APPT_UPCOMING
i want to upcoming appointments?,APPT_UPCOMING
next appointments,APPT_UPCOMING
next appointments please,APPT_UPCOMING
next appointments please!,APPT_UPCOMING
next appointments please?,APPT_UPCOMING
next appointments!,APPT_UPCOMING
next appointments?,APPT_UPCOMING
please appointments next week,APPT_UPCOMING
please appointments next week!,APPT_UPCOMING
please appointments next week?,APPT_UPCOMING
please appointments this week,APPT_UPCOMING
please appointments this week!,APPT_UPCOMING
please appointments this week?,APPT_UPCOMING
please next appointments,APPT_UPCOMING
please next appointments!,APPT_UPCOMING
please next appointments?,APPT_UPCOMING
please tomorrow appointments,APPT_UPCOMING
please tomorrow appointments!,APPT_UPCOMING
please tomorrow appointments?,APPT_UPCOMING
please upcoming appointments,APPT_UPCOMING
please upcoming appointments!,APPT_UPCOMING
please upcoming appointments?,APPT_UPCOMING
show me appointments next week,APPT_UPCOMING
show me appointments next week!,APPT_UPCOMING
show me appointments next week?,APPT_UPCOMING
show me appointments this week,APPT_UPCOMING
show me appointments this week!,APPT_UPCOMING
show me appointments this week?,APPT_UPCOMING
show me next appointments,APPT_UPCOMING
show me next appointments!,APPT_UPCOMING
show me next appointments?,APPT_UPCOMING
show me tomorrow appointments,APPT_UPCOMING
show me tomorrow appointments!,APPT_UPCOMING
show me tomorrow appointments?,APPT_UPCOMING
show me upcoming appointments,APPT_UPCOMING
show me upcoming appointments!,APPT_UPCOMING
show me upcoming appointments?,APPT_UPCOMING
tomorrow appointments,APPT_UPCOMING
tomorrow appointments please,APPT_UPCOMING
tomorrow appointments please!,APPT_UPCOMING
tomorrow appointments please?,APPT_UPCOMING
tomorrow appointments!,APPT_UPCOMING
tomorrow appointments?,APPT_UPCOMING
upcoming appointments,APPT_UPCOMING
upcoming appointments please,APPT_UPCOMING
upcoming appointments please!,APPT_UPCOMING
upcoming appointments please?,APPT_UPCOMING
upcoming appointments!,APPT_UPCOMING
upcoming appointments?,APPT_UPCOMING
can you cases at risk,CASE_NEEDS_ATTENTION
can you cases at risk!,CASE_NEEDS_ATTENTION
can you cases at risk?,CASE_NEEDS_ATTENTION
can you cases needing attention,CASE_NEEDS_ATTENTION
can you cases needing attention!,CASE_NEEDS_ATTENTION
can you cases needing attention?,CASE_NEEDS_ATTENTION
can you patients waiting follow up,CASE_NEEDS_ATTENTION
can you patients waiting follow up!,CASE_NEEDS_ATTENTION
can you patients waiting follow up?,CASE_NEEDS_ATTENTION
can you pending cases,CASE_NEEDS_ATTENTION
can you pending cases!,CASE_NEEDS_ATTENTION
can you pending cases?,CASE_NEEDS_ATTENTION
can you which cases need follow up,CASE_NEEDS_ATTENTION
can you which cases need follow up!,CASE_NEEDS_ATTENTION
can you which cases need follow up?,CASE_NEEDS_ATTENTION
cases at risk,CASE_NEEDS_ATTENTION
cases at risk please,CASE_NEEDS_ATTENTION
cases at risk please!,CASE_NEEDS_ATTENTION
cases at risk please?,CASE_NEEDS_ATTENTION
cases at risk!,CASE_NEEDS_ATTENTION
cases at risk?,CASE_NEEDS_ATTENTION
cases needing attention,CASE_NEEDS_ATTENTION
cases needing attention please,CASE_NEEDS_ATTENTION
cases needing attention please!,CASE_NEEDS_ATTENTION
cases needing attention please?,CASE_NEEDS_ATTENTION
cases needing attention!,CASE_NEEDS_ATTENTION
cases needing attention?,CASE_NEEDS_ATTENTION
could you cases at risk,CASE_NEEDS_ATTENTION
could you cases at risk!,CASE_NEEDS_ATTENTION
could you cases at risk?,CASE_NEEDS_ATTENTION
could you cases needing attention,CASE_NEEDS_ATTENTION
could you cases needing attention!,CASE_NEEDS_ATTENTION
could you cases needing attention?,CASE_NEEDS_ATTENTION
could you patients waiting follow up,CASE_NEEDS_ATTENTION
could you patients waiting follow up!,CASE_NEEDS_ATTENTION
could you patients waiting follow up?,CASE_NEEDS_ATTENTION
could you pending cases,CASE_NEEDS_ATTENTION
could you pending cases!,CASE_NEEDS_ATTENTION
could you pending cases?,CASE_NEEDS_ATTENTION
could you which cases need follow up,CASE_NEEDS_ATTENTION
could you which cases need follow up!,CASE_NEEDS_ATTENTION
could you which cases need follow up?,CASE_NEEDS_ATTENTION
i want to cases at risk,CASE_NEEDS_ATTENTION
i want to cases at risk!,CASE_NEEDS_ATTENTION
i want to cases at risk?,CASE_NEEDS_ATTENTION
i want to cases needing attention,CASE_NEEDS_ATTENTION
i want to cases needing attention!,CASE_NEEDS_ATTENTION
i want to cases needing attention?,CASE_NEEDS_ATTENTION
i want to patients waiting follow up,CASE_NEEDS_ATTENTION
i want to patients waiting follow up!,CASE_NEEDS_ATTENTION
i want to patients waiting follow up?,CASE_NEEDS_ATTENTION
i want to pending cases,CASE_NEEDS_ATTENTION
i want to pending cases!,CASE_NEEDS_ATTENTION
i want to pending cases?,CASE_NEEDS_ATTENTION
i want to which cases need follow up,CASE_NEEDS_ATTENTION
i want to which cases need follow up!,CASE_NEEDS_ATTENTION
i want to which cases need follow up?,CASE_NEEDS_ATTENTION
patients waiting follow up,CASE_NEEDS_ATTENTION
patients waiting follow up please,CASE_NEEDS_ATTENTION
patients waiting follow up please!,CASE_NEEDS_ATTENTION
patients waiting follow up please?,CASE_NEEDS_ATTENTION
patients waiting follow up!,CASE_NEEDS_ATTENTION
patients waiting follow up?,CASE_NEEDS_ATTENTION
pending cases,CASE_NEEDS_ATTENTION
pending cases please,CASE_NEEDS_ATTENTION
pending cases please!,CASE_NEEDS_ATTENTION
pending cases please?,CASE_NEEDS_ATTENTION
pending cases!,CASE_NEEDS_ATTENTION
pending cases?,CASE_NEEDS_ATTENTION
please cases at risk,CASE_NEEDS_ATTENTION
please cases at risk!,CASE_NEEDS_ATTENTION
please cases at risk?,CASE_NEEDS_ATTENTION
please cases needing attention,CASE_NEEDS_ATTENTION
please cases needing attention!,CASE_NEEDS_ATTENTION
please cases needing attention?,CASE_NEEDS_ATTENTION
please patients waiting follow up,CASE_NEEDS_ATTENTION
please patients waiting follow up!,CASE_NEEDS_ATTENTION
please patients waiting follow up?,CASE_NEEDS_ATTENTION
please pending cases,CASE_NEEDS_ATTENTION
please pending cases!,CASE_NEEDS_ATTENTION
please pending cases?,CASE_NEEDS_ATTENTION
please which cases need follow up,CASE_NEEDS_ATTENTION
please which cases need follow up!,CASE_NEEDS_ATTENTION
please which cases need follow up?,CASE_NEEDS_ATTENTION
show me cases at risk,CASE_NEEDS_ATTENTION
show me cases at risk!,CASE_NEEDS_ATTENTION
show me cases at risk?,CASE_NEEDS_ATTENTION
show me cases needing attention,CASE_NEEDS_ATTENTION
show me cases needing attention!,CASE_NEEDS_ATTENTION
show me cases needing attention?,CASE_NEEDS_ATTENTION
show me patients waiting follow up,CASE_NEEDS_ATTENTION
show me patients waiting follow up!,CASE_NEEDS_ATTENTION
show me patients waiting follow up?,CASE_NEEDS_ATTENTION
show me pending cases,CASE_NEEDS_ATTENTION
show me pending cases!,CASE_NEEDS_ATTENTION
show me pending cases?,CASE_NEEDS_ATTENTION
show me which cases need follow up,CASE_NEEDS_ATTENTION
show me which cases need follow up!,CASE_NEEDS_ATTENTION
show me which cases need follow up?,CASE_NEEDS_ATTENTION
which cases need follow up,CASE_NEEDS_ATTENTION
which cases need follow up please,CASE_NEEDS_ATTENTION
which cases need follow up please!,CASE_NEEDS_ATTENTION
which cases need follow up please?,CASE_NEEDS_ATTENTION
which cases need follow up!,CASE_NEEDS_ATTENTION
which cases need follow up?,CASE_NEEDS_ATTENTION
active cases,CASE_OPEN_LIST
active cases please,CASE_OPEN_LIST
active cases please!,CASE_OPEN_LIST
active cases please?,CASE_OPEN_LIST
active cases!,CASE_OPEN_LIST
active cases?,CASE_OPEN_LIST
can you active cases,CASE_OPEN_LIST
can you active cases!,CASE_OPEN_LIST
can you active cases?,CASE_OPEN_LIST
can you cases in progress,CASE_OPEN_LIST
can you cases in progress!,CASE_OPEN_LIST
can you cases in progress?,CASE_OPEN_LIST
can you list open cases,CASE_OPEN_LIST
can you list open cases!,CASE_OPEN_LIST
can you list open cases?,CASE_OPEN_LIST
can you open case list,CASE_OPEN_LIST
can you open case list!,CASE_OPEN_LIST
can you open case list?,CASE_OPEN_LIST
can you show open cases,CASE_OPEN_LIST
can you show open cases!,CASE_OPEN_LIST
can you show open cases?,CASE_OPEN_LIST
cases in progress,CASE_OPEN_LIST
cases in progress please,CASE_OPEN_LIST
cases in progress please!,CASE_OPEN_LIST
cases in progress please?,CASE_OPEN_LIST
cases in progress!,CASE_OPEN_LIST
cases in progress?,CASE_OPEN_LIST
could you active cases,CASE_OPEN_LIST
could you active cases!,CASE_OPEN_LIST
could you active cases?,CASE_OPEN_LIST
could you cases in progress,CASE_OPEN_LIST
could you cases in progress!,CASE_OPEN_LIST
could you cases in progress?,CASE_OPEN_LIST
could you list open cases,CASE_OPEN_LIST
could you list open cases!,CASE_OPEN_LIST
could you list open cases?,CASE_OPEN_LIST
could you open case list,CASE_OPEN_LIST
could you open case list!,CASE_OPEN_LIST
could you open case list?,CASE_OPEN_LIST
could you show open cases,CASE_OPEN_LIST
could you show open cases!,CASE_OPEN_LIST
could you show open cases?,CASE_OPEN_LIST
i want to active cases,CASE_OPEN_LIST
i want to active cases!,CASE_OPEN_LIST
i want to active cases?,CASE_OPEN_LIST
i want to cases in progress,CASE_OPEN_LIST
i want to cases in progress!,CASE_OPEN_LIST
i want to cases in progress?,CASE_OPEN_LIST
i want to list open cases,CASE_OPEN_LIST
i want to list open cases!,CASE_OPEN_LIST
i want to list open cases?,CASE_OPEN_LIST
i want to open case list,CASE_OPEN_LIST
i want to open case list!,CASE_OPEN_LIST
i want to open case list?,CASE_OPEN_LIST
i want to show open cases,CASE_OPEN_LIST
i want to show open cases!,CASE_OPEN_LIST
i want to show open cases?,CASE_OPEN_LIST
list open cases,CASE_OPEN_LIST
list open cases please,CASE_OPEN_LIST
list open cases please!,CASE_OPEN_LIST
list open cases please?,CASE_OPEN_LIST
list open cases!,CASE_OPEN_LIST
list open cases?,CASE_OPEN_LIST
open case list,CASE_OPEN_LIST
open case list please,CASE_OPEN_LIST
open case list please!,CASE_OPEN_LIST
open case list please?,CASE_OPEN_LIST
open case list!,CASE_OPEN_LIST
open case list?,CASE_OPEN_LIST
please active cases,CASE_OPEN_LIST
please active cases!,CASE_OPEN_LIST
please active cases?,CASE_OPEN_LIST
please cases in progress,CASE_OPEN_LIST
please cases in progress!,CASE_OPEN_LIST
please cases in progress?,CASE_OPEN_LIST
please list open cases,CASE_OPEN_LIST
please list open cases!,CASE_OPEN_LIST
please list open cases?,CASE_OPEN_LIST
please open case list,CASE_OPEN_LIST
please open case list!,CASE_OPEN_LIST
please open case list?,CASE_OPEN_LIST
please show open cases,CASE_OPEN_LIST
please show open cases!,CASE_OPEN_LIST
please show open cases?,CASE_OPEN_LIST
show me active cases,CASE_OPEN_LIST
show me active cases!,CASE_OPEN_LIST
show me active cases?,CASE_OPEN_LIST
show me cases in progress,CASE_OPEN_LIST
show me cases in progress!,CASE_OPEN_LIST
show me cases in progress?,CASE_OPEN_LIST
show me list open cases,CASE_OPEN_LIST
show me list open cases!,CASE_OPEN_LIST
show me list open cases?,CASE_OPEN_LIST
show me open case list,CASE_OPEN_LIST
show me open case list!,CASE_OPEN_LIST
show me open case list?,CASE_OPEN_LIST
show me show open cases,CASE_OPEN_LIST
show me show open cases!,CASE_OPEN_LIST
show me show open cases?,CASE_OPEN_LIST
show open cases,CASE_OPEN_LIST
show open cases please,CASE_OPEN_LIST
show open cases please!,CASE_OPEN_LIST
show open cases please?,CASE_OPEN_LIST
show open cases!,CASE_OPEN_LIST
show open cases?,CASE_OPEN_LIST
can you create summary for this case,CASE_SUMMARY_REQUEST
can you create summary for this case!,CASE_SUMMARY_REQUEST
can you create summary for this case?,CASE_SUMMARY_REQUEST
can you generate case summary,CASE_SUMMARY_REQUEST
can you generate case summary!,CASE_SUMMARY_REQUEST
can you generate case summary?,CASE_SUMMARY_REQUEST
can you request summary,CASE_SUMMARY_REQUEST
can you request summary!,CASE_SUMMARY_REQUEST
can you request summary?,CASE_SUMMARY_REQUEST
can you summarize this case,CASE_SUMMARY_REQUEST
can you summarize this case!,CASE_SUMMARY_REQUEST
can you summarize this case?,CASE_SUMMARY_REQUEST
could you create summary for this case,CASE_SUMMARY_REQUEST
could you create summary for this case!,CASE_SUMMARY_REQUEST
could you create summary for this case?,CASE_SUMMARY_REQUEST
could you generate case summary,CASE_SUMMARY_REQUEST
could you generate case summary!,CASE_SUMMARY_REQUEST
could you generate case summary?,CASE_SUMMARY_REQUEST
could you request summary,CASE_SUMMARY_REQUEST
could you request summary!,CASE_SUMMARY_REQUEST
could you request summary?,CASE_SUMMARY_REQUEST
could you summarize this case,CASE_SUMMARY_REQUEST
could you summarize this case!,CASE_SUMMARY_REQUEST
could you summarize this case?,CASE_SUMMARY_REQUEST
create summary for this case,CASE_SUMMARY_REQUEST
create summary for this case please,CASE_SUMMARY_REQUEST
create summary for this case please!,CASE_SUMMARY_REQUEST
create summary for this case please?,CASE_SUMMARY_REQUEST
create summary for this case!,CASE_SUMMARY_REQUEST
create summary for this case?,CASE_SUMMARY_REQUEST
generate case summary,CASE_SUMMARY_REQUEST
generate case summary please,CASE_SUMMARY_REQUEST
generate case summary please!,CASE_SUMMARY_REQUEST
generate case summary please?,CASE_SUMMARY_REQUEST
generate case summary!,CASE_SUMMARY_REQUEST
generate case summary?,CASE_SUMMARY_REQUEST
i want to create summary for this case,CASE_SUMMARY_REQUEST
i want to create summary for this case!,CASE_SUMMARY_REQUEST
i want to create summary for this case?,CASE_SUMMARY_REQUEST
i want to generate case summary,CASE_SUMMARY_REQUEST
i want to generate case summary!,CASE_SUMMARY_REQUEST
i want to generate case summary?,CASE_SUMMARY_REQUEST
i want to request summary,CASE_SUMMARY_REQUEST
i want to request summary!,CASE_SUMMARY_REQUEST
i want to request summary?,CASE_SUMMARY_REQUEST
i want to summarize this case,CASE_SUMMARY_REQUEST
i want to summarize this case!,CASE_SUMMARY_REQUEST
i want to summarize this case?,CASE_SUMMARY_REQUEST
please create summary for this case,CASE_SUMMARY_REQUEST
please create summary for this case!,CASE_SUMMARY_REQUEST
please create summary for this case?,CASE_SUMMARY_REQUEST
please generate case summary,CASE_SUMMARY_REQUEST
please generate case summary!,CASE_SUMMARY_REQUEST
please generate case summary?,CASE_SUMMARY_REQUEST
please request summary,CASE_SUMMARY_REQUEST
